Date,Rep 1,Rep 2,Rep 3,Rep 4,Rep 5,Rep 6,Rep 7,Rep 8,Best,Avg,Moving Avg (5),Diff from Moving Avg,Whoop Recovery,Whoop Sleep,Whoop Sleep %,Workout time,Weather (F),Weight (lbs),,
8/3/2020,,3.02,,3,3.04,,,,3,3.02,3.02,0,0.75,8:15,97%,7:12,60,193.4,,https://www.timeanddate.com/weather/usa/pleasanton/historic
8/14/2020,3.09,3.05,,3.04,3,,,,3,3.045,3.0325,0.0125,0.87,7:53,100%,7:04,74,193.6,,https://app.whoop.com/athlete/177432/1d/2020-11-09
8/17/2020,,3.09,3.09,3.08,3.12,,,,3.08,3.095,3.053333333,0.04166666667,0.64,7:56,97%,7:12,75,195.4,,
8/26/2020,3.11,3.06,3,3.07,3.04,,,,3,3.056,3.054,0.002,0.67,8:37,100%,7:16,60,195.2,,
9/4/2020,3.05,,3.07,3.05,3.08,,,,3.05,3.0625,3.0557,0.0068,0.61,8:31,100%,7:06,58,194,,
9/7/2020,3.05,3.05,3.01,3.02,,,,,3.01,3.0325,3.0582,-0.0257,0.61,6:51,86%,7:00,71,194.8,,
9/9/2020,3.07,3.01,,,3,,,,3,3.026666667,3.054533333,-0.02786666667,0.74,8:23,100%,7:13,64,195.6,,
9/19/2020,,3.06,3.01,,,2.97,,,2.97,3.013333333,3.0382,-0.02486666667,0.46,8:16,100%,7:24,59,195.2,,
9/21/2020,3.07,,,3.06,,,,,3.06,3.065,3.04,0.025,0.22,5:26,67%,8:01,62,196.4,,
10/12/2020,3.04,3.05,3.08,,,,,,3.04,3.056666667,3.038833333,0.01783333333,0.33,8:00,97%,5:42,54,193.4,,
11/9/2020,3.12,3.19,3.2,,,,,,3.12,3.17,3.066333333,0.1036666667,0.91,8:12,100%,6:43,33,192.2,,
11/11/2020,3.1,3.04,3,3.07,2.99,3.07,,,2.99,3.045,3.07,-0.025,0.69,8:46,100%,8:55,52,192.4,,
11/14/2020,3.06,3.04,3.04,3.03,3.09,,,,3.03,3.052,3.077733333,-0.02573333333,0.45,6:29,80%,7:45,48,193.2,,
11/16/2020,3.04,3.11,3.12,,,,,,3.04,3.09,3.082733333,0.007266666667,0.47,8:06,96%,5:57,46,194.4,,
11/30/2020,3.16,3.17,3.09,3.05,,,,,3.05,3.1175,3.0949,0.0226,0.48,7:10,85%,6:05,36,196.4,,
12/7/2020,3.04,3.05,2.96,3.06,,,,,2.96,3.0275,3.0664,-0.0389,0.92,7:55,93%,6:14,55,195.4,,
12/11/2020,3.08,3.03,3.05,3.05,3.02,3.05,,,3.02,3.046666667,3.066733333,-0.02006666667,0.47,7:57,97%,6:03,43,195.2,,
12/14/2020,3.04,3.05,3.1,3.05,3.08,,,,3.04,3.064,3.069133333,-0.005133333333,0.74,7:44,97%,6:05,39,196,,
12/18/2020,3.13,3.1,3.15,3.12,,,,,3.1,3.125,3.076133333,0.04886666667,0.48,7:48,97%,6:06,37,195.8,,
12/21/2020,3.01,2.94,2.99,3.01,2.94,,,,2.94,2.978,3.048233333,-0.07023333333,0.52,7:27,88%,10:55,43,195.8,,
12/25/2020,3.12,3.06,3.08,3.05,3.01,3.1,,,3.01,3.07,3.056733333,0.01326666667,0.8,7:46,96%,7:07,43,197.8,,
12/28/2020,2.98,2.96,2.97,3.03,2.96,2.96,,,2.96,2.976666667,3.042733333,-0.06606666667,0.46,7:56,96%,10:00,46,196.2,,
1/6/2021,3.17,3.13,3.1,3.07,3.09,3.05,,,3.05,3.101666667,3.050266667,0.0514,0.77,7:51,98%,6:00,37,195.4,,
1/11,3.15,3.13,3.1,3.12,3.09,,,,3.09,3.118,3.048866667,0.06913333333,0.6,7:37,89%,6:05,37,195.2,,
1/17/2021,2.93,2.93,2.93,2.93,2.94,2.93,,,2.93,2.931666667,3.0396,-0.1079333333,0.42,7:50,95%,10:30,64,196.8,,
2/1,3.14,3.12,3.06,3.08,3.1,3.11,,,3.06,3.101666667,3.045933333,0.05573333333,0.7,7:48,94%,6:00,46,196,,
2/8,3.1,3.04,3.11,3.09,3.14,,,,3.04,3.096,3.0698,0.0262,0.59,7:58,98%,6:00,39,197.6,,
2/14,3.12,3.14,3.06,3.08,3.02,2.94,,,2.94,3.06,3.061466667,-0.001466666667,0.75,8:31,100%,7:20,41,199.6,,
2/26,3.01,3.01,3.02,3.13,,,,,3.01,3.0425,3.046366667,-0.003866666667,0.74,7:36,96%,6:00,39,197.6,,
3/1,3,3.04,3.06,,,,,,3,3.033333333,3.0667,-0.03336666667,0.92,8:03,88%,6:05,41,198,,
3/10,3.05,3.02,3.05,3.01,3.03,2.97,,,2.97,3.021666667,3.0507,-0.02903333333,0.88,8:02,100%,6:00,43,197.6,,
3/17,3.04,3.13,3.12,3.08,3.14,3.02,3.13,,3.02,3.094285714,3.050357143,0.04392857143,0.89,7:32,94%,5:55,36,197.8,,
3/24,3.18,3.16,3.12,3.09,3.04,3.06,3.08,,3.04,3.104285714,3.059214286,0.04507142857,0.7,7:55,99%,6:00,43,200,,
3/31,3.02,2.96,3,2.96,3.01,,,,2.96,2.99,3.048714286,-0.05871428571,0.89,8:03,98%,6:00,48,199.6,,
4/7,3.07,2.98,2.92,3.04,3,3,,,2.92,3.001666667,3.042380952,-0.04071428571,0.93,7:13,89%,6:05,46,197.4,,
4/14,3.05,3.03,3.04,3.08,3.09,3.09,,,3.03,3.063333333,3.050714286,0.01261904762,0.85,7:02,87%,6:00,45,198,,
4/21,3.11,3.09,3.03,2.98,3.01,2.98,2.97,,2.97,3.024285714,3.036714286,-0.01242857143,0.42,7:42,99%,6:00,48,198.4,,
5/1,3.05,3.03,2.96,3.05,3.09,2.97,3.05,,2.96,3.028571429,3.021571429,0.007,0.81,7:40,93%,7:00,48,201.6,,
5/3,2.97,3.02,3.04,3.01,2.99,2.93,,,2.93,2.993333333,3.022238095,-0.0289047619,0.49,7:25,89%,7:15,70,200.2,,
5/5,3.06,3.04,3,3.01,3,3.08,,,3,3.031666667,3.028238095,0.003428571429,0.63,7:39,85%,7:30,66,198.6,,
5/19,3.07,3.05,3.02,3.07,3.02,3.09,3.12,,3.02,3.062857143,3.028142857,0.03471428571,0.67,7:42,91%,7:15,64,198.8,,
5/26,3.02,2.96,3.02,3,3,3.02,3.13,,2.96,3.021428571,3.027571429,-0.006142857143,0.97,7:35,97%,7:15,70,198.8,,
6/3,2.97,3.02,2.99,3.08,3.05,,,,2.97,3.022,3.026257143,-0.004257142857,0.35,7:21,85%,8:00,70,199.8,,
6/9,3.04,3.04,3.02,2.99,2.98,2.96,2.98,2.99,2.96,3,3.027590476,-0.02759047619,0.76,8:10,93%,7:25,70,198,,
6/14,2.97,3,3.04,,,,,,2.97,3.003333333,3.02192381,-0.01859047619,0.82,6:38,0.81,7:30,73,198.6,,
6/18,3.07,3.03,3.04,,,,,,3.03,3.046666667,3.018685714,0.02798095238,0.51,7:52,93%,7:20,70,199.6,,
6/22,3.1,2.99,3.08,3.06,,,,,2.99,3.0575,3.0259,0.0316,0.49,8:08,92%,7:30,68,199.2,,
7/2,2.91,2.87,2.87,2.9,2.92,,,,2.87,2.894,3.0003,-0.1063,0.53,7:25,84%,7:45,73,197.4,,
7/7,2.98,2.96,2.97,3.05,3.01,2.96,,,2.96,2.988333333,2.997966667,-0.009633333333,0.39,8:01,91%,5:40,55,196.8,,
